Tournament,Date,Game Time,Blue Team,Red Team,Blue Kills,Blue Turrets,Blue Dragons,Blue Barons,Red Kills,Red Turrets,Red Dragons,Red Barons,Blue Wards Placed,Blue Wards Destroyed,Red Wards Placed,Red Wards Destroyed,First Dragon Team,First Dragon Time,First Rift Herald Team,First Rift Herald Time,Blue Bans 1,Blue Bans 2,Blue Bans 3,Blue Bans 4,Blue Bans 5,Red Bans 1,Red Bans 2,Red Bans 3,Red Bans 4,Red Bans 5,Blue Top,Blue Jungle,Blue Mid,Blue Bot,Blue Support,Red Top,Red Jungle,Red Mid,Red Bot,Red Support,Blue Top KDA,Blue Top CS,Blue Jungle KDA,Blue Jungle CS,Blue Mid KDA,Blue Mid CS,Blue Bot KDA,Blue Bot CS,Blue Support KDA,Blue Support CS,Red Top KDA,Red Top CS,Red Jungle KDA,Red Jungle CS,Red Mid KDA,Red Mid CS,Red Bot KDA,Red Bot CS,Red Support KDA,Red Support CS
Worlds Main Event 2023,11/5/2023,31.666666666666668,LNG Esports,T1,3,2,0,0,8,7,4,0,143,60,100,59,Red,5.716666666666667,Red,10.2,Rumble, Jarvan IV, Azir, Caitlyn, Renata Glasc,Xayah, Neeko, Orianna, Kaisa, Nautilus,Gwen, Maokai, Jayce, Aphelios, Rakan,Aatrox, Rell, Sylas, Varus, Ashe, 0/2/1,319, 0/1/2,144, 1/2/1,249, 2/1/0,295, 0/2/2,37, 2/0/3,332, 0/1/8,154, 2/1/1,249, 4/1/3,303, 0/0/3,37
Worlds Main Event 2023,11/5/2023,26.3,LNG Esports,T1,3,2,0,0,13,10,4,1,118,42,85,50,Red,6.616666666666667,Red,8.633333333333333,Rumble, Jarvan IV, Rell, Kalista, Gnar,Xayah, Neeko, Maokai, Caitlyn, Kaisa,Renekton, Sejuani, Orianna, Aphelios, Milio,Jayce, Poppy, Azir, Varus, Renata Glasc, 1/4/0,193, 0/5/2,117, 1/2/2,238, 1/2/1,258, 0/0/2,33, 6/0/3,292, 2/1/5,139, 2/1/7,227, 3/1/3,230, 0/0/7,8
Worlds Main Event 2023,11/4/2023,29.65,JD Gaming,KT Rolster,4,2,2,0,15,7,2,1,93,47,88,45,Blue,7.533333333333333,Red,11.05,Rumble, Neeko, Azir, Nautilus, Taliyah,Xayah, Kalista, Jarvan IV, Vi, Wukong,Renekton, Rell, Orianna, Zeri, Rakan,Jax, Sejuani, Akali, Aphelios, Lulu, 2/4/1,253, 0/4/4,159, 1/2/0,261, 1/2/0,337, 0/3/1,32, 0/3/10,275, 2/0/10,156, 7/0/3,283, 6/0/5,350, 0/1/12,24
Worlds Main Event 2023,11/4/2023,25.85,JD Gaming,KT Rolster,18,9,3,1,4,1,1,0,72,38,81,33,Blue,6.466666666666667,Blue,8.616666666666667,Rumble, Sejuani, Azir, Poppy, Rell,Xayah, Kalista, Jarvan IV, Kaisa, Zeri,Aatrox, Vi, Neeko, Jinx, Rakan,Renekton, Viego, Orianna, Aphelios, Renata Glasc, 4/0/6,255, 6/1/8,193, 2/3/9,223, 5/0/9,277, 1/0/13,32, 0/3/0,233, 1/4/0,147, 1/4/3,216, 2/3/0,251, 0/4/1,41
Worlds Main Event 2023,11/4/2023,27.35,KT Rolster,JD Gaming,6,1,0,0,14,7,4,0,111,47,94,50,Red,6.55,Red,8.6,Kalista, Jarvan IV, Renata Glasc, Kaisa, Zeri,Rumble, Neeko, Sejuani, Viego, Poppy,Jax, Rell, Azir, Xayah, Nautilus,Aatrox, Wukong, Orianna, Sivir, Rakan, 1/4/1,199, 0/3/4,137, 2/2/3,270, 3/1/1,290, 0/4/3,47, 3/2/5,225, 1/3/8,187, 4/0/7,253, 5/1/4,315, 1/0/11,47
Worlds Main Event 2023,11/4/2023,33.65,KT Rolster,JD Gaming,15,5,2,0,14,9,3,2,131,53,116,61,Blue,6.066666666666666,Blue,8.583333333333334,Kalista, Jarvan IV, Wukong, Aatrox, Rell,Rumble, Neeko, Sejuani, Akali, Azir,Jax, Vi, Syndra, Xayah, Lulu,Gragas, Lee Sin, Orianna, Kaisa, Rakan, 6/2/3,280, 3/3/7,178, 3/4/6,262, 3/2/7,349, 0/3/13,16, 1/5/4,263, 2/4/7,184, 3/3/9,270, 8/0/3,333, 0/3/9,29
Worlds Main Event 2023,11/3/2023,29.683333333333334,Gen.G eSports,Bilibili Gaming,5,3,0,0,14,8,5,1,135,50,93,64,Red,5.516666666666667,Red,8.616666666666667,Neeko, Renekton, Xayah, Rumble, KSante,Rakan, Maokai, Sylas, Poppy, Sejuani,Jax, Rell, Azir, Aphelios, Tahm Kench,Aatrox, Jarvan IV, Orianna, Kalista, Renata Glasc, 1/4/0,217, 0/4/3,136, 2/1/0,278, 2/3/0,296, 0/2/3,42, 4/1/5,276, 5/1/7,173, 2/1/8,241, 2/0/5,306, 1/2/11,22
Worlds Main Event 2023,11/3/2023,28,Bilibili Gaming,Gen.G eSports,15,10,4,2,3,0,0,0,84,48,118,37,Blue,5.483333333333333,Blue,8.9,Sylas, Rakan, Poppy, Yone, Akali,Jax, Neeko, Kalista, Jinx, Ashe,Rumble, Jarvan IV, Orianna, Xayah, Renata Glasc,Aatrox, Maokai, Azir, Aphelios, Milio, 2/2/4,227, 5/0/8,167, 1/0/3,257, 7/0/2,311, 0/1/12,25, 1/6/0,197, 0/3/2,155, 1/3/1,272, 1/1/0,252, 0/2/2,12
Worlds Main Event 2023,11/3/2023,46.166666666666664,Gen.G eSports,Bilibili Gaming,13,11,4,3,9,5,3,0,176,102,180,96,Red,6.583333333333333,Blue,8.666666666666666,Jax, Xayah, Renata Glasc, Aphelios, Kalista,Rakan, Sylas, Rumble, Zeri, Draven,Aatrox, Maokai, Yone, Kaisa, Nautilus,Renekton, Jarvan IV, Orianna, Caitlyn, Braum, 5/2/6,428, 1/2/9,214, 0/2/5,480, 7/1/3,511, 0/2/10,53, 0/3/2,317, 2/0/5,248, 3/3/5,378, 4/4/3,506, 0/3/4,57
Worlds Main Event 2023,11/3/2023,35.833333333333336,Bilibili Gaming,Gen.G eSports,11,4,2,1,20,8,3,1,119,56,123,58,Red,5.95,Red,8.683333333333334,Sylas, Rakan, Yone, Nautilus, Kaisa,Xayah, Renata Glasc, Jax, Caitlyn, Aphelios,KSante, Jarvan IV, Neeko, Ashe, Tahm Kench,Rumble, Vi, Akali, Kalista, Rell, 2/4/4,257, 6/3/4,215, 0/4/7,252, 3/4/7,319, 0/5/8,45, 2/2/15,296, 6/2/7,262, 5/2/8,324, 6/3/11,322, 1/2/17,45
Worlds Main Event 2023,11/3/2023,33.7,Bilibili Gaming,Gen.G eSports,14,10,3,2,6,4,2,0,102,47,105,56,Blue,6.9,Red,9.266666666666667,Sylas, Rakan, Aatrox, Nautilus, Kalista,Xayah, Renata Glasc, Jax, Caitlyn, Aphelios,Rumble, Jarvan IV, Orianna, Tahm Kench, Senna,Gnar, Vi, Akali, Kaisa, Rell, 3/3/8,223, 5/1/8,181, 3/1/9,303, 1/0/10,204, 2/1/10,70, 0/3/2,260, 0/3/6,214, 2/3/1,305, 4/1/1,319, 0/4/4,37
Worlds Main Event 2023,11/2/2023,39.2,NRG,Weibo Gaming,6,4,3,1,9,10,3,2,121,67,135,63,Red,7.9,Blue,10.466666666666667,Renata Glasc, Rumble, Azir, Nocturne, Gnar,Xayah, Jarvan IV, Maokai, Vi, Jax,Renekton, Viego, Orianna, Tahm Kench, Senna,KSante, Rell, Neeko, Aphelios, Milio, 2/1/3,361, 1/3/2,263, 3/2/2,323, 0/2/1,199, 0/1/5,68, 4/3/2,280, 1/1/6,157, 1/2/4,300, 3/0/3,408, 0/0/7,19
Worlds Main Event 2023,11/2/2023,33.38333333333333,NRG,Weibo Gaming,9,1,1,1,20,8,4,1,87,57,116,33,Red,7.183333333333334,Red,8.783333333333333,Renata Glasc, Rumble, Azir, Gnar, Viego,Xayah, Jarvan IV, Maokai, Senna, Ziggs,KSante, Vi, Orianna, Kaisa, Alistar,Aatrox, Rell, Neeko, Aphelios, Milio, 2/3/3,288, 2/3/4,177, 2/3/5,242, 2/5/4,264, 1/6/5,30, 5/3/6,306, 0/1/15,141, 4/4/10,286, 9/1/4,341, 2/0/17,18
Worlds Main Event 2023,11/2/2023,26.383333333333333,NRG,Weibo Gaming,7,0,0,0,19,8,4,1,90,39,79,31,Red,5.633333333333333,Red,10.55,Renata Glasc, Azir, Aphelios, KSante, Tristana,Xayah, Neeko, Orianna, Jarvan IV, Poppy,Rumble, Sejuani, Yone, Ezreal, Karma,Gnar, Maokai, Jayce, Caitlyn, Heimerdinger, 1/6/3,187, 0/3/6,126, 3/5/1,221, 3/2/2,232, 0/3/6,21, 3/2/5,278, 2/2/11,123, 10/2/6,232, 3/1/5,252, 1/1/10,18
Worlds Main Event 2023,10/29/2023,34.36666666666667,G2 Esports,Bilibili Gaming,3,2,1,0,16,9,4,2,122,60,113,51,Red,10.516666666666667,Blue,8.916666666666666,Neeko, Rakan, Jarvan IV, Bard, Alistar,Kalista, Draven, Orianna, Azir, Renekton,Poppy, Maokai, Jayce, KogMaw, Braum,Jax, Sejuani, Taliyah, Xayah, Milio, 0/3/1,209, 1/3/1,146, 0/3/3,341, 2/4/0,347, 0/3/2,42, 7/0/2,333, 2/0/8,191, 4/0/7,298, 3/1/8,347, 0/2/13,30
Worlds Main Event 2023,10/29/2023,43.95,G2 Esports,Bilibili Gaming,21,8,6,1,20,6,0,2,211,90,159,99,Blue,10.366666666666667,Blue,8.383333333333333,Jax, Xayah, Alistar, Tristana, Renata Glasc,Kalista, Draven, Poppy, Nautilus, Rell,Olaf, Nocturne, Neeko, Kaisa, Lissandra,Renekton, Maokai, Jayce, Zeri, Rakan, 2/3/10,346, 4/5/12,247, 5/3/9,393, 10/4/5,379, 0/5/14,53, 6/3/4,322, 4/4/10,190, 5/8/6,331, 5/4/10,424, 0/2/18,68
Worlds Main Event 2023,10/29/2023,29.116666666666667,Bilibili Gaming,G2 Esports,16,11,4,1,5,2,0,0,136,40,86,80,Blue,7.95,Blue,9.233333333333333,Kalista, Draven, Poppy, Rakan, Rell,Xayah, Neeko, Jax, Alistar, Aphelios,Renekton, Jarvan IV, Orianna, Ashe, Braum,Gnar, Maokai, Azir, Kaisa, Bard, 4/0/4,252, 4/1/9,181, 4/1/9,232, 3/3/8,261, 1/0/11,53, 1/3/2,210, 0/3/2,128, 0/4/0,266, 1/1/3,284, 3/5/1,27
Worlds Main Event 2023,10/29/2023,28.383333333333333,Fnatic,Weibo Gaming,13,10,4,1,4,2,0,0,96,36,86,41,Blue,6.233333333333333,Red,8.7,Neeko, Rumble, Kalista, Azir, Syndra,Xayah, Jarvan IV, Maokai, Nautilus, Ivern,KSante, Sejuani, Orianna, Aphelios, Milio,Aatrox, Poppy, Sylas, Zeri, Renata Glasc, 2/2/5,212, 2/0/7,167, 2/1/5,248, 6/0/6,302, 1/2/11,6, 0/4/2,223, 0/2/2,116, 3/2/0,234, 1/2/1,272, 0/3/3,44
