Tournament,Date,Game Time,Blue Team,Red Team,Blue Kills,Blue Turrets,Blue Dragons,Blue Barons,Red Kills,Red Turrets,Red Dragons,Red Barons,Blue Wards Placed,Blue Wards Destroyed,Red Wards Placed,Red Wards Destroyed,First Dragon Team,First Dragon Time,First Rift Herald Team,First Rift Herald Time,Blue Bans 1,Blue Bans 2,Blue Bans 3,Blue Bans 4,Blue Bans 5,Red Bans 1,Red Bans 2,Red Bans 3,Red Bans 4,Red Bans 5,Blue Top,Blue Jungle,Blue Mid,Blue Bot,Blue Support,Red Top,Red Jungle,Red Mid,Red Bot,Red Support,Blue Top KDA,Blue Top CS,Blue Jungle KDA,Blue Jungle CS,Blue Mid KDA,Blue Mid CS,Blue Bot KDA,Blue Bot CS,Blue Support KDA,Blue Support CS,Red Top KDA,Red Top CS,Red Jungle KDA,Red Jungle CS,Red Mid KDA,Red Mid CS,Red Bot KDA,Red Bot CS,Red Support KDA,Red Support CS
Prime League Promotion 2024,9/21/2023,33.516666666666666,Austrian Force willhaben,GamerLegion,6,2,3,0,19,10,2,1,117,45,85,53,Blue,5.55,Blue,8.933333333333334,Ivern, Orianna, Taliyah, Nautilus, Lissandra,LeBlanc, Xayah, Rell, Akali, Xerath,Renekton, Vi, Neeko, Ezreal, Rakan,Gnar, Poppy, Azir, Aphelios, Leona, 1/5/2,256, 0/4/4,180, 2/2/4,272, 3/1/1,299, 0/7/4,45, 3/1/7,337, 6/1/7,149, 4/2/12,279, 5/1/8,305, 1/1/13,31
LFL Promotion 2024,9/20/2023,36.31666666666667,Lille Esport,Team du Sud,17,5,3,2,26,7,2,0,118,43,97,58,Red,7.666666666666667,Blue,9.866666666666667,Rell, Ivern, Maokai, Alistar, Leona,Poppy, Tristana, Rumble, Xayah, Sejuani,KSante, Graves, LeBlanc, Vayne, Nautilus,Renekton, Nocturne, Ahri, KogMaw, Braum, 2/5/9,248, 5/5/11,216, 4/3/5,333, 6/5/9,324, 0/8/16,31, 6/3/10,305, 5/5/14,214, 8/2/14,284, 6/4/10,343, 1/4/18,30
LFL Promotion 2024,9/20/2023,26.016666666666666,Lille Esport,Team du Sud,12,3,1,0,21,9,3,1,74,35,77,24,Red,5.433333333333334,Blue,8.8,Rell, Ivern, Maokai, KogMaw, Nocturne,Tristana, Poppy, Rumble, Xayah, Sejuani,KSante, Lee Sin, LeBlanc, Aphelios, Nautilus,Renekton, Vi, Ahri, Vayne, Braum, 0/5/7,182, 5/3/3,136, 5/4/2,179, 1/4/5,236, 1/5/3,27, 6/1/7,218, 1/4/10,139, 5/4/6,203, 9/1/4,233, 0/2/18,33
LFL Promotion 2024,9/20/2023,34.6,Team du Sud,Lille Esport,19,8,3,1,5,6,2,0,104,32,113,48,Blue,9.333333333333334,Red,9.433333333333334,Poppy, Rumble, Tristana, Nocturne, Amumu,Rell, Renekton, LeBlanc, Vayne, Ezreal,Ornn, Maokai, Jayce, Kaisa, Nautilus,Gwen, Xin Zhao, Azir, Xayah, Alistar, 0/2/10,223, 1/2/10,166, 6/0/13,326, 12/0/4,339, 0/1/10,41, 1/2/2,312, 0/4/4,164, 0/3/2,276, 4/3/1,321, 0/7/5,21
LFL Promotion 2024,9/19/2023,32.18333333333333,Team du Sud,IZI Dream,2,2,2,0,11,9,3,2,118,60,107,62,Blue,7.916666666666667,Blue,10.083333333333334,Azir, Sejuani, Rumble, Orianna, Jayce,Rell, Tristana, Maokai, Braum, Alistar,KSante, Ivern, LeBlanc, Xayah, Leona,Renekton, Taliyah, Kaisa, Sivir, Nautilus, 0/3/0,248, 1/2/1,160, 1/2/1,317, 0/1/0,367, 0/3/1,43, 2/0/4,309, 2/0/4,257, 4/2/3,338, 3/0/6,315, 0/0/4,35
LFL Promotion 2024,9/19/2023,33.333333333333336,IZI Dream,Team du Sud,6,3,1,1,17,11,4,1,92,47,102,33,Red,7.55,Blue,8.45,Rell, Ivern, Tristana, Nilah, Zeri,Rumble, Azir, LeBlanc, Sivir, Jayce,Poppy, Shaco, Orianna, Kaisa, Maokai,Renekton, Taliyah, Yone, Vayne, Nautilus, 0/4/5,220, 2/4/3,173, 2/3/3,269, 2/2/3,305, 0/4/3,33, 0/2/5,258, 5/0/8,244, 7/2/5,319, 4/1/6,351, 1/1/13,32
LFL Promotion 2024,9/19/2023,40.45,IZI Dream,Team du Sud,18,6,4,1,34,11,2,2,130,65,152,50,Blue,9.9,Blue,8.75,Rell, Taliyah, Maokai, Viego, Nocturne,Azir, Rumble, Tristana, Sivir, Xayah,Renekton, Lillia, Jayce, Kaisa, Leona,KSante, Amumu, Syndra, Vayne, Nautilus, 0/6/4,277, 3/8/13,254, 9/6/4,296, 6/4/7,380, 0/10/15,36, 4/0/16,265, 4/5/24,157, 9/3/13,342, 15/2/8,385, 2/8/14,42
LFL Promotion 2024,9/19/2023,28.783333333333335,Team du Sud,IZI Dream,6,4,0,0,16,9,4,2,88,40,86,35,Red,6.783333333333333,Red,8.583333333333334,Azir, Rumble, Tristana, Ezreal, Sejuani,Rell, Maokai, Vayne, Yone, Jayce,KSante, Viego, Taliyah, Zeri, Alistar,Renekton, Poppy, Orianna, Xayah, Nautilus, 0/5/1,162, 1/1/0,163, 1/2/2,262, 1/2/0,329, 3/6/1,29, 4/2/5,244, 2/1/9,133, 1/1/8,263, 7/0/4,330, 2/2/7,29
LFL Promotion 2024,9/19/2023,38.53333333333333,IZI Dream,Team du Sud,8,10,6,2,12,5,0,1,134,48,127,56,Blue,5.783333333333333,Blue,8.433333333333334,Rell, Ivern, Maokai, Yone, Nocturne,Rumble, Azir, Tristana, Orianna, Jayce,Renekton, Poppy, Syndra, Xayah, Leona,Ornn, Taliyah, Ahri, Vayne, Nautilus, 5/2/1,278, 0/2/2,190, 2/3/4,311, 1/2/2,363, 0/3/2,41, 2/2/7,189, 3/3/4,241, 1/1/4,339, 5/1/3,382, 1/1/5,32
Prime League Promotion 2024,9/19/2023,26.383333333333333,Austrian Force willhaben,DKB Diamonds,16,11,3,1,2,1,1,0,70,32,77,25,Blue,7.85,Red,9.133333333333333,Seraphine, Tristana, Ivern, Nautilus, Vi,Poppy, LeBlanc, Azir, Zeri, Jax,Ornn, Rell, Ahri, Ezreal, Rakan,Renekton, Belveth, Taliyah, Xayah, Leona, 2/1/11,222, 1/1/14,133, 4/0/8,257, 6/0/7,251, 3/0/10,32, 0/3/1,234, 2/2/0,192, 0/3/2,210, 0/5/1,182, 0/3/2,35
Prime League Promotion 2024,9/19/2023,37.63333333333333,DKB Diamonds,Austrian Force willhaben,22,9,2,1,22,7,3,1,96,41,121,42,Red,6,Red,10.1,Poppy, LeBlanc, Rell, Ornn, KSante,Seraphine, Tristana, Ivern, Nautilus, Jarvan IV,Renekton, Xin Zhao, Azir, Ziggs, Renata Glasc,Aatrox, Vi, Ahri, Xayah, Rakan, 5/5/9,276, 5/7/13,186, 5/4/12,273, 5/4/9,266, 2/2/16,39, 6/7/10,222, 1/6/8,154, 3/4/14,293, 12/3/4,447, 0/2/17,38
Prime League Promotion 2024,9/19/2023,29.95,DKB Diamonds,Austrian Force willhaben,9,4,1,0,22,9,3,1,73,42,99,36,Red,8.483333333333333,Blue,9.1,Poppy, LeBlanc, Ahri, Xerath, Akali,Seraphine, Tristana, Ivern, Vi, Xin Zhao,Renekton, Sejuani, Azir, Xayah, Nautilus,Ornn, Rell, Neeko, Ezreal, Rakan, 1/4/5,280, 2/6/6,136, 2/3/4,266, 4/4/2,266, 0/5/5,33, 3/3/12,209, 4/2/17,154, 6/0/8,265, 9/2/9,271, 0/2/19,50
SuperLiga Promotion 2024,9/19/2023,37.916666666666664,UCAM Tokiers,Case Esports,19,11,4,3,10,6,2,0,117,52,126,57,Red,6.633333333333333,Red,8.35,Rumble, Xayah, Jarvan IV, Sejuani, Trundle,Tristana, Taliyah, Kaisa, Jayce, Ezreal,Ornn, Maokai, Azir, Sivir, Rell,Renekton, Viego, Neeko, Zeri, Alistar, 3/3/12,236, 2/1/12,183, 6/1/8,320, 7/3/6,425, 1/2/15,38, 1/4/5,341, 1/3/7,211, 1/5/8,255, 7/2/2,398, 0/5/6,35
SuperLiga Promotion 2024,9/19/2023,35.266666666666666,UCAM Tokiers,Case Esports,20,8,2,2,23,5,3,0,106,48,101,52,Red,5.366666666666666,Blue,9.483333333333333,Rumble, Xayah, Jarvan IV, Braum, Ahri,Tristana, Taliyah, Kaisa, Sejuani, Sivir,Renekton, Maokai, Azir, Ezreal, Rell,Gnar, Belveth, Neeko, Zeri, Nautilus, 2/7/9,219, 5/3/9,154, 8/2/11,371, 5/3/10,351, 0/8/10,34, 3/5/12,307, 8/3/8,221, 4/6/11,247, 7/2/10,352, 1/4/14,36
SuperLiga Promotion 2024,9/19/2023,35.166666666666664,Case Esports,UCAM Tokiers,22,8,4,1,12,3,1,1,109,49,123,48,Blue,5.933333333333334,Blue,8.516666666666667,Tristana, Taliyah, Azir, Alistar, Nautilus,Rumble, Jarvan IV, Rakan, LeBlanc, Braum,Gnar, Belveth, Ahri, Zeri, Rell,Renekton, Maokai, Syndra, Xayah, Blitzcrank, 2/4/8,258, 6/4/5,222, 4/1/10,296, 9/1/7,337, 1/2/14,41, 1/5/5,221, 2/7/5,136, 3/2/2,298, 6/3/5,363, 0/5/11,27
SuperLiga Promotion 2024,9/19/2023,27.45,UCAM Tokiers,Case Esports,5,0,0,0,22,8,4,1,90,38,77,31,Red,6.733333333333333,Blue,9.716666666666667,Rumble, Xayah, Belveth, Viego, Neeko,Tristana, Azir, Taliyah, Ornn, Gnar,KSante, Maokai, Gragas, Kaisa, Rell,Renekton, Vi, Galio, Zeri, Nautilus, 0/5/4,184, 0/5/4,131, 2/4/2,210, 3/4/1,260, 0/4/3,40, 10/3/5,274, 3/1/13,157, 3/1/12,198, 4/0/11,284, 2/0/11,30
SuperLiga Promotion 2024,9/19/2023,30.516666666666666,Case Esports,UCAM Tokiers,17,10,3,1,8,2,1,0,78,42,107,36,Blue,8.233333333333333,Red,8.466666666666667,Tristana, Azir, Taliyah, Sejuani, LeBlanc,Rumble, Belveth, Rakan, Neeko, Lissandra,Gnar, Vi, Galio, Zeri, Rell,Renekton, Nocturne, Ahri, Xayah, Nautilus, 1/2/8,288, 4/2/10,171, 3/1/10,222, 9/1/4,294, 0/2/14,28, 0/3/3,211, 0/4/7,144, 7/3/0,280, 1/3/1,327, 0/4/5,33
LFL Promotion 2024,9/18/2023,44.71666666666667,GameWard,Lille Esport,33,9,3,2,23,10,4,2,135,50,156,60,Red,9.75,Blue,8.566666666666666,Maokai, Poppy, Rumble, Kaisa, Nocturne,Rell, Renekton, LeBlanc, Ornn, Kalista,KSante, Taliyah, Jayce, Xayah, Nautilus,Sion, Gragas, Tristana, Vayne, Alistar, 1/3/22,285, 13/3/11,349, 9/3/16,425, 8/7/12,344, 2/7/17,41, 1/7/9,259, 2/5/14,204, 6/5/11,412, 11/5/7,398, 3/11/11,29
LFL Promotion 2024,9/18/2023,27.566666666666666,GameWard,Lille Esport,24,10,2,1,14,3,2,0,68,20,81,23,Red,8.216666666666667,Blue,9.166666666666666,Maokai, Poppy, Rumble, Sion, Jayce,Renekton, Rell, LeBlanc, Ornn, Gwen,KSante, Karthus, Tristana, Xayah, Rakan,Malphite, Xin Zhao, Taliyah, Jinx, Nautilus, 7/1/13,206, 7/5/13,217, 9/3/8,256, 1/3/11,170, 0/2/23,34, 2/6/10,158, 4/6/8,133, 2/1/7,244, 5/5/5,222, 1/6/9,32
LFL Promotion 2024,9/18/2023,28.55,GameWard,Lille Esport,26,8,4,1,12,3,0,0,97,23,84,35,Blue,10.15,Blue,11.583333333333334,Maokai, Poppy, Rumble, Vayne, Kaisa,Renekton, Xayah, LeBlanc, KSante, Ornn,Camille, Karthus, Tristana, Ezreal, Rell,Gwen, Sejuani, Taliyah, Zeri, Alistar, 4/4/6,186, 8/3/14,257, 4/2/10,271, 7/2/12,249, 3/1/19,43, 7/4/4,217, 1/5/7,124, 2/5/4,260, 2/5/3,257, 0/7/11,27
LFL Promotion 2024,9/18/2023,25.5,Lille Esport,GameWard,11,2,1,0,37,10,3,1,67,20,66,18,Red,6.15,Red,9.383333333333333,Renekton, Karthus, Xayah, Rumble, Nocturne,Maokai, Tristana, LeBlanc, Alistar, Nautilus,Poppy, Taliyah, Jayce, Vayne, Leona,Ornn, Viego, Neeko, Kaisa, Rell, 2/5/5,182, 3/7/6,155, 2/9/1,190, 4/8/4,205, 0/8/5,23, 1/1/18,193, 11/1/12,171, 11/4/15,200, 13/3/7,201, 1/2/29,41
Worlds Play-In 2023,10/14/2023,42.46666666666667,CTBC Flying Oyster,Team BDS,18,5,1,0,20,11,5,3,142,82,190,85,Red,7,Red,10.55,Orianna, Ivern, Rakan, Darius, Renekton,Rumble, Jarvan IV, Blitzcrank, KSante, Nautilus,Aatrox, Maokai, Jayce, Kaisa, Rell,Sett, Sejuani, Azir, Xayah, Alistar, 2/4/10,286, 2/4/11,179, 9/3/8,344, 5/4/11,376, 0/5/16,46, 0/5/11,267, 2/2/16,206, 8/3/9,314, 10/3/6,425, 0/5/18,30
Worlds Play-In 2023,10/14/2023,28.55,CTBC Flying Oyster,Team BDS,6,4,3,0,17,9,1,1,75,40,101,36,Blue,7.016666666666667,Blue,10.483333333333333,Orianna, Darius, Olaf, Ezreal, Sivir,Rumble, Jarvan IV, Xayah, Neeko, Yone,Aatrox, Sejuani, Sylas, Kaisa, Alistar,Renekton, Maokai, Azir, Kalista, Taric, 1/4/0,248, 2/3/2,148, 0/3/3,229, 2/2/1,292, 1/5/3,33, 5/2/8,262, 2/1/11,137, 3/2/8,246, 6/2/8,283, 1/0/14,35
SuperLiga Promotion 2024,9/18/2023,33.6,Guasones,Wizards Club,15,6,2,0,26,10,3,2,133,47,108,62,Red,5.65,Red,8.75,Ziggs, Xayah, Renekton, Nautilus, Alistar,LeBlanc, Taliyah, Tristana, Maokai, Poppy,Gnar, Zac, Azir, Ezreal, Rell,Rumble, Vi, Syndra, Kaisa, Rakan, 4/5/4,267, 2/6/6,190, 6/4/5,294, 2/7/4,279, 1/4/9,46, 3/5/11,241, 1/3/15,211, 6/0/9,260, 16/2/6,338, 0/5/20,50
SuperLiga Promotion 2024,9/18/2023,29.566666666666666,Wizards Club,Guasones,23,6,4,1,14,4,1,0,102,34,86,40,Blue,5.933333333333334,Red,8.266666666666667,LeBlanc, Maokai, Xayah, Orianna, Jarvan IV,Renekton, Tristana, Vi, Ashe, KogMaw,Ornn, Viego, Taliyah, Aphelios, Nautilus,Gnar, Trundle, Syndra, Kaisa, Rell, 2/2/15,200, 8/2/12,155, 7/1/13,235, 5/3/11,228, 1/6/17,30, 0/4/4,280, 3/5/8,127, 4/5/5,224, 7/3/5,260, 0/6/13,28
SuperLiga Promotion 2024,9/18/2023,25.55,Guasones,Wizards Club,20,8,4,1,7,1,0,0,84,31,85,44,Blue,6.733333333333333,Blue,8.483333333333333,Ziggs, Renekton, Rumble, Jarvan IV, Viego,LeBlanc, Taliyah, Tristana, Sylas, Nautilus,Gnar, Maokai, Akali, Xayah, Rell,Malphite, Vi, Orianna, Ezreal, Rakan, 5/2/6,211, 0/2/16,136, 2/1/6,220, 13/0/2,285, 0/2/16,34, 2/4/0,170, 1/6/6,145, 1/5/5,199, 3/1/3,233, 0/4/6,38
SuperLiga Promotion 2024,9/18/2023,31.05,Wizards Club,Guasones,16,4,1,0,20,9,4,1,95,26,92,36,Red,6.533333333333333,Blue,9.183333333333334,LeBlanc, Maokai, Xayah, Jarvan IV, Zeri,Vi, Tristana, Renekton, Ezreal, Kaisa,Ornn, Viego, Taliyah, Sivir, Braum,Gnar, Rell, Sylas, Varus, Soraka, 1/5/5,195, 6/5/10,179, 2/3/11,272, 6/3/5,291, 1/4/15,31, 8/2/7,283, 0/5/16,140, 5/3/5,288, 7/3/6,277, 0/3/16,18
SuperLiga Promotion 2024,9/18/2023,42.63333333333333,Wizards Club,Guasones,28,8,5,2,25,8,1,1,134,63,150,65,Red,9.133333333333333,Blue,8.55,LeBlanc, Maokai, Gnar, Varus, Orianna,Tristana, Vi, Xayah, Ezreal, Vayne,Renekton, Viego, Taliyah, Kaisa, Nautilus,Ornn, Jarvan IV, Xerath, Zeri, Rell, 2/4/14,348, 11/4/15,255, 5/6/16,254, 8/5/12,347, 2/6/12,48, 3/5/13,241, 2/7/10,217, 7/6/8,326, 12/2/6,429, 1/8/17,45
Prime League Promotion 2024,9/12/2023,28.866666666666667,GamerLegion,DKB Diamonds,8,1,0,0,25,10,4,1,104,39,89,33,Red,5.516666666666667,Red,8.683333333333334,Ivern, Tristana, Seraphine, Rakan, Jax,Rell, Poppy, Taliyah, Renekton, KSante,Gnar, Xin Zhao, Lissandra, Zeri, Alistar,Olaf, Vi, Ahri, Xayah, Nautilus, 0/3/2,243, 1/6/5,147, 3/5/5,231, 4/5/2,295, 0/6/7,28, 7/0/6,263, 4/3/14,141, 5/0/17,248, 7/2/12,280, 2/3/15,32
Prime League Promotion 2024,9/12/2023,26.5,GamerLegion,DKB Diamonds,24,9,4,1,7,1,0,0,70,28,75,27,Blue,7.35,Blue,8.833333333333334,Ivern, Tristana, Seraphine, Olaf, Viego,Rell, Poppy, Taliyah, Alistar, Nautilus,Renekton, Jarvan IV, Azir, Xayah, Lissandra,Kled, Sejuani, Ahri, Kaisa, Rakan, 3/1/7,246, 1/1/20,146, 5/3/5,250, 15/0/7,272, 0/2/14,9, 2/4/3,210, 0/6/1,126, 4/3/1,212, 1/4/3,225, 0/7/4,34
Prime League Promotion 2024,9/12/2023,38.733333333333334,DKB Diamonds,GamerLegion,14,6,4,2,23,9,2,1,124,50,121,57,Blue,7.183333333333334,Red,8.733333333333333,Poppy, Taliyah, Jarvan IV, Lissandra, Syndra,Ivern, Tristana, Seraphine, Ziggs, Azir,Renekton, Sejuani, Ahri, Zeri, Rell,KSante, Vi, Neeko, Xayah, Braum, 0/6/7,295, 1/6/10,163, 8/2/6,288, 3/2/4,370, 2/7/8,31, 1/1/12,279, 3/6/14,192, 5/3/15,270, 13/1/5,422, 1/3/20,34
Prime League Promotion 2024,9/12/2023,33.416666666666664,DKB Diamonds,GamerLegion,21,11,2,2,11,0,3,0,80,36,109,39,Red,7.133333333333334,Blue,8.733333333333333,Poppy, Taliyah, Xayah, Zeri, Kaisa,Ivern, Tristana, Seraphine, Vi, Rakan,Renekton, Rell, Ahri, Ezreal, Soraka,KSante, Jarvan IV, Neeko, Kalista, Braum, 9/3/7,332, 0/4/20,116, 7/2/12,253, 4/0/12,292, 1/2/16,10, 4/3/6,237, 0/7/9,142, 1/4/7,279, 5/3/3,307, 1/4/9,35
Prime League Promotion 2024,9/12/2023,28.95,GamerLegion,DKB Diamonds,10,10,3,1,1,1,1,0,77,25,81,37,Red,7.383333333333334,Blue,8.383333333333333,Ivern, Tristana, Olaf, Braum, Jarvan IV,Taliyah, Xayah, Rell, Nautilus, Lissandra,Renekton, Sejuani, Azir, Ezreal, Leona,Poppy, Maokai, Ahri, Zeri, Lulu, 1/0/6,346, 1/0/7,159, 1/0/5,270, 6/0/4,307, 1/1/7,28, 0/2/1,224, 0/3/1,128, 0/1/1,286, 1/2/0,272, 0/2/1,12
SuperLiga Promotion 2024,9/12/2023,32.46666666666667,Guasones,Case Esports,3,3,0,0,14,9,4,1,111,50,100,56,Red,10.1,Blue,10.083333333333334,Jarvan IV, Neeko, Rumble, Rakan, Alistar,Tristana, Kaisa, Taliyah, Gnar, Braum,Chogath, Lee Sin, LeBlanc, Zeri, Rell,Renekton, Viego, Lissandra, Xayah, Nautilus, 0/3/0,238, 2/4/1,197, 1/1/2,327, 0/1/0,389, 0/5/1,32, 7/0/6,319, 3/0/11,172, 0/2/14,270, 4/0/6,362, 0/1/9,35
SuperLiga Promotion 2024,9/12/2023,27.833333333333332,Case Esports,Guasones,16,8,3,2,2,2,0,0,82,43,104,42,Blue,10.4,Blue,8.533333333333333,Tristana, Maokai, Taliyah, Zeri, Sivir,Rumble, Neeko, Jarvan IV, LeBlanc, Ahri,Ornn, Rell, Azir, Xayah, Rakan,Renekton, Sejuani, Yone, Kaisa, Alistar, 2/1/6,238, 3/0/12,157, 6/0/6,250, 3/0/11,296, 2/1/11,37, 1/4/0,243, 1/2/0,163, 0/3/1,292, 0/2/1,273, 0/5/1,37
SuperLiga Promotion 2024,9/12/2023,25.583333333333332,Case Esports,Guasones,17,8,1,1,5,2,2,0,82,38,84,35,Blue,9.516666666666667,Red,9.316666666666666,Tristana, Maokai, Taliyah, Nautilus, Renekton,Neeko, LeBlanc, Jarvan IV, Ornn, Malphite,Gnar, Vi, Ahri, Kaisa, Rell,Jayce, Rumble, Sylas, Varus, Rakan, 7/3/5,221, 2/0/8,159, 4/0/7,192, 2/1/7,231, 2/1/8,34, 2/5/1,195, 3/3/2,118, 0/3/2,191, 0/2/1,226, 0/4/1,42
SuperLiga Promotion 2024,9/11/2023,24.216666666666665,UCAM Tokiers,Wizards Club,17,10,3,1,5,2,0,0,52,28,67,25,Blue,7.466666666666667,Red,10.433333333333334,Rumble, Xayah, Sejuani, Jarvan IV, Braum,LeBlanc, Tristana, Jayce, KSante, Olaf,Ornn, Maokai, Taliyah, Sivir, Alistar,Renekton, Rell, Orianna, Vayne, Nautilus, 0/3/9,178, 3/1/12,103, 3/0/9,240, 11/0/6,243, 0/1/14,29, 1/2/1,229, 1/2/2,140, 2/3/1,207, 1/4/2,188, 0/6/2,44
SuperLiga Promotion 2024,9/11/2023,32.95,Wizards Club,UCAM Tokiers,10,3,2,0,18,9,3,2,105,44,95,44,Red,5.566666666666666,Red,9.583333333333334,Taliyah, LeBlanc, Jayce, Alistar, Rakan,Rumble, Maokai, Tristana, Ziggs, Xerath,Sion, Trundle, Syndra, Zeri, Rell,Gnar, Sejuani, Azir, Xayah, Blitzcrank, 0/3/6,236, 1/6/6,136, 4/4/4,259, 5/1/3,347, 0/4/9,43, 3/2/7,284, 2/0/13,151, 10/4/4,278, 2/2/11,365, 1/2/12,28
SuperLiga Promotion 2024,9/11/2023,33.93333333333333,Wizards Club,UCAM Tokiers,20,8,3,1,14,3,2,0,100,35,90,36,Red,7.95,Blue,8.5,Taliyah, LeBlanc, Maokai, Jayce, Yone,Rumble, Tristana, Rell, Syndra, Nautilus,Renekton, Sejuani, Ziggs, Ezreal, Alistar,Olaf, Lillia, Lucian, Xayah, Rakan, 7/3/7,283, 2/4/9,156, 3/2/12,240, 8/0/8,285, 0/5/13,27, 4/6/7,208, 3/3/8,243, 2/4/6,270, 4/3/6,319, 1/4/9,37
SuperLiga Promotion 2024,9/11/2023,24.866666666666667,UCAM Tokiers,Wizards Club,30,9,4,1,9,1,0,0,56,21,77,19,Blue,6.333333333333333,Blue,8.383333333333333,Rumble, Xayah, Sejuani, Zeri, Ezreal,LeBlanc, Maokai, Tristana, Ornn, Sylas,KSante, Jarvan IV, Taliyah, Kaisa, Rell,Renekton, Wukong, Ziggs, Swain, Alistar, 3/2/10,179, 5/1/22,143, 9/0/11,250, 12/2/11,209, 1/4/24,26, 2/4/2,213, 4/6/2,130, 2/5/3,213, 1/7/6,168, 0/8/8,26
LEC Season Finals 2023,9/10/2023,27.616666666666667,G2 Esports,Fnatic,27,10,1,1,14,2,2,0,77,31,103,32,Red,12.633333333333333,Blue,10.05,Taliyah, Poppy, Tristana, Xayah, Nautilus,Ivern, Kalista, LeBlanc, Draven, Braum,KSante, Rell, Azir, Kaisa, Rakan,Renekton, Maokai, Syndra, Aphelios, Alistar, 9/1/8,193, 3/1/18,136, 7/1/12,246, 6/7/9,220, 2/4/19,39, 2/4/3,237, 4/4/5,157, 4/6/5,238, 4/7/4,204, 0/6/7,21
LEC Season Finals 2023,9/10/2023,25.483333333333334,Fnatic,G2 Esports,10,2,0,0,26,11,3,1,84,36,81,31,Red,6.4,Red,10.15,Kalista, Draven, LeBlanc, Braum, Sivir,Rell, Ivern, Tristana, Alistar, Nautilus,Renekton, Taliyah, Syndra, Xayah, Rakan,Olaf, Maokai, Jayce, Kaisa, Lissandra, 2/3/1,185, 2/6/4,174, 4/4/3,228, 2/4/5,195, 0/9/7,35, 5/1/1,202, 0/0/13,151, 6/2/9,197, 12/1/5,236, 3/6/15,29
LEC Season Finals 2023,9/10/2023,29.766666666666666,G2 Esports,Fnatic,11,5,2,0,20,9,2,1,95,39,112,32,Red,8.8,Blue,8.666666666666666,Taliyah, Poppy, Tristana, Xayah, Alistar,Ivern, Kalista, LeBlanc, KogMaw, Draven,KSante, Rell, Yone, Sivir, Rakan,Renekton, Maokai, Azir, Kaisa, Nautilus, 0/4/5,179, 2/4/6,147, 7/4/2,247, 1/3/5,295, 1/5/4,41, 5/3/8,237, 4/2/9,148, 1/2/11,262, 9/1/5,258, 1/3/11,35
LEC Season Finals 2023,9/10/2023,23.6,G2 Esports,Fnatic,24,10,1,1,6,3,1,0,61,18,76,18,Red,9.033333333333333,Blue,9.1,Tristana, Poppy, Renekton, Braum, Alistar,Kalista, Maokai, LeBlanc, Fiddlesticks, Azir,KSante, Rell, Syndra, Draven, Leona,Ornn, Ivern, Taliyah, Xayah, Nautilus, 2/1/4,195, 1/3/22,104, 10/0/7,222, 8/1/6,196, 3/1/15,30, 0/3/2,163, 2/6/1,105, 1/3/1,214, 3/7/1,193, 0/5/2,28
CBLOL Split 2 Playoffs 2023,9/9/2023,31.666666666666668,paiN Gaming,LOUD,4,1,3,0,12,9,2,1,139,51,106,71,Blue,6.733333333333333,Blue,9.4,Neeko, LeBlanc, Kaisa, Olaf, Renekton,Tristana, Jax, Ivern, Nautilus, Lulu,Malphite, Poppy, Azir, Xayah, Rell,Gnar, Sejuani, Xerath, Zeri, Rakan, 3/3/1,260, 1/2/1,155, 0/2/0,295, 0/2/0,313, 0/3/0,41, 4/4/1,299, 2/0/7,183, 1/0/5,258, 5/0/3,334, 0/0/8,41
CBLOL Split 2 Playoffs 2023,9/9/2023,28.716666666666665,LOUD,paiN Gaming,15,7,0,1,4,0,3,0,98,65,117,59,Red,11.583333333333334,Blue,9.466666666666667,Tristana, Jax, Rell, Zeri, Sivir,Neeko, Xayah, Renekton, Nocturne, Poppy,KSante, Trundle, LeBlanc, Kaisa, Rakan,Olaf, Sejuani, Azir, Kalista, Alistar, 4/2/3,226, 4/1/5,151, 2/0/3,296, 5/0/6,253, 0/1/9,39, 0/4/1,245, 1/2/2,144, 1/1/2,274, 2/5/1,228, 0/3/2,41
CBLOL Split 2 Playoffs 2023,9/9/2023,32.18333333333333,LOUD,paiN Gaming,8,4,0,0,24,11,4,2,108,77,144,45,Red,10.816666666666666,Blue,10.283333333333333,Tristana, Jax, Rell, Gnar, KSante,Neeko, Xayah, LeBlanc, Nocturne, Trundle,Renekton, Poppy, Ahri, Zeri, Rakan,Olaf, Sejuani, Taliyah, Kaisa, Nautilus, 0/8/4,223, 2/6/6,136, 3/2/4,292, 3/4/2,354, 0/4/6,36, 11/2/5,326, 1/1/16,193, 3/2/10,261, 7/2/6,322, 2/1/14,44
CBLOL Split 2 Playoffs 2023,9/9/2023,23.683333333333334,paiN Gaming,LOUD,6,0,1,0,16,8,2,0,87,33,74,33,Red,11.683333333333334,Blue,9.083333333333334,Neeko, LeBlanc, Xayah, Nautilus, Trundle,Tristana, Jax, Sejuani, Azir, Jayce,Poppy, Maokai, Syndra, Kaisa, Rell,Renekton, Nocturne, Taliyah, Sivir, Alistar, 1/3/3,181, 0/3/3,122, 2/2/1,210, 3/3/2,214, 0/5/4,30, 5/3/1,224, 2/1/10,171, 3/0/6,216, 6/1/5,231, 0/1/11,28
